iter	Passed	Remaining
735	2082	747
736	2085	744
737	2088	741
738	2091	738
739	2093	735
740	2096	732
741	2099	729
742	2101	726
743	2104	724
744	2106	721
745	2109	718
746	2112	715
747	2115	712
748	2117	709
749	2120	706
750	2122	703
751	2125	701
752	2128	698
753	2130	695
754	2133	692
755	2136	689
756	2138	686
757	2141	683
758	2144	680
759	2146	677
760	2149	675
761	2152	672
762	2154	669
763	2157	666
764	2159	663
765	2162	660
766	2165	657
767	2167	654
768	2170	651
769	2173	649
770	2175	646
771	2179	643
772	2182	640
773	2185	638
774	2188	635
775	2190	632
776	2193	629
777	2195	626
778	2198	623
779	2201	621
780	2204	618
781	2207	615
782	2210	612
783	2213	609
784	2215	606
785	2218	603
786	2221	601
787	2224	598
788	2226	595
789	2229	592
790	2232	589
791	2234	586
792	2236	583
793	2239	581
794	2241	578
795	2243	575
796	2246	572
797	2249	569
798	2251	566
799	2253	563
800	2257	560
801	2260	558
802	2262	555
803	2264	552
804	2266	549
805	2269	546
806	2272	543
807	2275	540
808	2277	537
809	2281	535
810	2283	532
811	2285	529
812	2288	526
813	2291	523
814	2294	520
815	2297	518
816	2300	515
817	2302	512
818	2305	509
819	2309	506
820	2313	504
821	2316	501
822	2319	498
823	2322	495
824	2324	493
825	2326	490
826	2328	487
827	2330	484
828	2333	481
829	2336	478
830	2339	475
831	2341	472
832	2345	470
833	2348	467
834	2350	464
835	2352	461
836	2354	458
837	2356	455
838	2359	452
839	2361	449
840	2364	447
841	2367	444
842	2369	441
843	2372	438
844	2375	435
845	2378	432
846	2381	430
847	2383	427
848	2386	424
849	2389	421
850	2393	419
851	2396	416
852	2400	413
853	2402	410
854	2405	407
855	2407	405
856	2410	402
857	2412	399
858	2415	396
859	2417	393
860	2420	390
861	2424	388
862	2426	385
863	2428	382
864	2431	379
865	2433	376
866	2435	373
867	2438	370
868	2441	368
869	2444	365
870	2446	362
871	2449	359
872	2452	356
873	2455	353
874	2457	351
875	2460	348
876	2462	345
877	2465	342
878	2467	339
879	2469	336
880	2472	333
881	2474	331
882	2477	328
883	2479	325
884	2481	322
885	2484	319
886	2486	316
887	2489	314
888	2492	311
889	2494	308
890	2496	305
891	2499	302
892	2502	299
893	2504	297
894	2508	294
895	2511	291
896	2514	288
897	2517	285
898	2519	283
899	2522	280
900	2525	277
901	2528	274
902	2530	271
903	2533	269
904	2536	266
905	2538	263
906	2542	260
907	2544	257
908	2547	254
909	2549	252
910	2552	249
911	2555	246
912	2558	243
913	2560	240
914	2563	238
915	2566	235
916	2568	232
917	2571	229
918	2573	226
919	2576	224
920	2580	221
921	2582	218
922	2585	215
923	2588	212
924	2591	210
925	2593	207
926	2596	204
927	2599	201
928	2602	198
929	2605	196
930	2608	193
931	2611	190
932	2613	187
933	2616	184
934	2618	182
935	2621	179
936	2624	176
937	2627	173
938	2630	170
939	2633	168
940	2635	165
941	2638	162
942	2641	159
943	2644	156
944	2646	154
945	2649	151
946	2652	148
947	2654	145
948	2657	142
949	2659	139
950	2661	137
951	2664	134
952	2667	131
953	2669	128
954	2672	125
955	2675	123
956	2678	120
957	2681	117
958	2683	114
959	2685	111
960	2688	109
961	2691	106
962	2694	103
963	2697	100
964	2699	97
965	2702	95
966	2705	92
967	2708	89
968	2711	86
969	2714	83
970	2716	81
971	2719	78
972	2722	75
973	2726	72
974	2729	69
975	2733	67
976	2736	64
977	2738	61
978	2741	58
979	2744	56
980	2747	53
981	2749	50
982	2752	47
983	2754	44
984	2756	41
985	2759	39
986	2762	36
987	2766	33
988	2768	30
989	2770	27
990	2772	25
991	2775	22
992	2779	19
993	2781	16
994	2784	13
995	2786	11
996	2790	8
997	2792	5
998	2794	2
999	2796	0
